	artist	song
511	Guy Lombardo with Carmen Lombardo 	Stars Fell on Alabama
512	Jimmie Grier with Harry Foster 	Stay As Sweet As You Are
513	Bing Crosby with George Stoll�s Orchestra 	June in January
514	Jimmie Grier with Pinky Tomlin 	The Object of My Affection
515	George Hall with Sonny Schuyler 	Santa Claus Is Coming to Town
516	Ray Noble with Al Bowlly 	Isle of Capri
517	Glen Gray with Kenny Sargent 	Blue Moon
518	The Boswell Sisters 	The Object of My Affection
519	Paul Whiteman�s Orchestra with Ramona Davies 	I Get a Kick Out of You
520	Eddy Duchin with Lew Sherwood 	Lovely to Look At
521	Henry Busse 	Lookie Lookie Lookie, Here Comes Cookie
522	Eddy Duchin with Lew Sherwood 	I Won�t Dance
523	Bing Crosby with George Stoll�s Orchestra 	It�s Easy to Remember
524	The Dorsey Brothers with Bob Crosby 	Lullaby of Broadway
525	Bing Crosby with George Stoll�s Orchestra 	Soon
526	Glen Gray with Kenny Sargent 	When I Grow Too Old to Dream
527	Guy Lombardo with Carmen Lombardo 	What�s the Reason I'm Not Pleasing You?
528	Ozzie Nelson 	About a Quartet to Nine
529	Ruth Etting 	Life Is a Song
530	Bob Crosby with Frank Tennille 	In a Little Gypsy Tea Room
531	The Dorsey Brothers with Bob Eberly 	Chasing Shadows
532	Victor Young with Hal Burke & the Tune Twisters 	She�s a Latin from Manhattan
533	Ray Noble & the Freshmen 	Let�s Swing It
534	Hal Hemp with Skinnay Ennis 	In the Middle of a Kiss
535	Jimmie Lunceford with Willie Smith 	Rhythm Is Our Business
536	Fred Astaire & Ginger Rogers with Leo Reisman�s Orchestra 	Cheek to Cheek
537	Ray Noble & Al Bowlly 	Paris in the Spring
538	Ozzie Nelson 	And Then Some
539	Tom Coakley with Carl Ravazza 	East of the Sun and West of the Moon
540	Eddy Duchin with Lew Sherwood 	You�re All I Need
541	Little Jack Little 	I�m in the Mood for Love
542	Fats Waller 	Truckin�
543	Eddy Duchin with Lew Sherwood 	You Are My Lucky Star
544	Guy Lombardo with Carmen Lombardo 	Red Sails in the Sunset
545	Bing Crosby with Victor Young�s Orchestra 	Red Sails in the Sunset
546	Tommy Dorsey with Edyth Wright 	On Treasure Island
547	Fats Waller 	A Little Bit Independent
548	Tommy Dorsey with Edythe Wright 	The Music Goes �Round and �Round
549	Riley-Farley Orchestra with Mike Reilly 	The Music Goes �Round and �Round
550	Eddy Duchin with Lew Sherwood 	Moon Over Miami
551	Tommy Dorsey with Cliff Weston 	Alone
552	Jan Garber with Lew Palmer 	A Beautiful Lady in Blue
553	Eddy Duchin with Lew Sherwood 	Lights Out (Close Your Eyes and Dream of Me)
554	Benny Goodman with Helen Ward 	Goody Goody
555	Fred Astaire with Johnny Greer�s Orchestra 	I�m Putting All My Eggs in One Basket
556	Benny Goodman with Helen Ward 	It�s Been So Long
557	Guy Lombardo with Carmen Lombardo 	Lost
558	Jan Gaber with Leo Bennett 	A Melody from the Sky
559	Tommy Dorsey with Edythe Wright 	You
560	Benny Goodman with Helen Ward 	The Glory of Love
561	Jimmy Dorsey with Bob Eberly 	Is It True What They Say About Dixie
562	Fats Waller 	All My Life
563	Hal Kemp 	There�s a Small Hotel
564	Benny Goodman with Helen Ward 	These Foolish Things Remind Me of You
565	Eddy Duchin with Jerry Cooper 	Take My Heart
566	Fats Waller 	It�s a Sin to Tell a Lie
567	Shep Fields with Charles Chester 	Did I Remember?
568	Hal Kemp with Skinnay Ennis 	When I�m with You
569	Andy Kirk with Pha Terrell 	Until the Real Thing Comes Along
570	Fred Astaire with Johnny Greer�s Orchestra 	A Fine Romance (A Sarcastic Love Song)
571	Fred Astaire with Johnny Greer�s Orchestra 	The Way You Look Tonight
572	Guy Lombardo with Carmen Lombardo 	When Did You Leave Heaven?
573	Benny Goodman with Helen Ward 	You Turned the Tables on Me
574	Bing Crosby with George Stoll�s Orchestra 	Pennies from Heaven
575	Eddy Duchin with Jimmy Newell 	I�ll Sing You a Thousand Love Songs
576	Shep Fields 	In the Chapel in the Moonlight
577	Eddy Duchin with Jerry Cooper 	It�s De-Lovely
578	Benny Goodman with Ella Fitzgerald 	Goodnight My Love
579	Hal Hemp with Skinnay Ennis 	This Year�s Kisses
580	Henry Busse with Bob Hannon 	With Plenty of Money and You (Oh! Baby What I Couldn't Do)
581	Benny Goodman with Margaret McRae 	This Year�s Kisses
582	Guy Lombardo 	When My Dream Boat Comes Home
583	Shep Fields with Bob Goday 	Moonlight and Shadows
584	Tommy Dorsey with Jack Leonard 	Marie
585	Guy Lombardo 	Boo Hoo
586	Bing Crosby with Lani McIntyre & His Hawaiians 	Sweet Leilani
587	Bing Crosby with Jimmy Dorsey�s Orchestra 	Too Marvelous for Words
588	Fred Astaire with Johnny Greer�s Orchestra 	They Can�t Take That Away from Me
589	Guy Lombardo with Carmen Lombardo 	September in the Rain
590	Billie Holiday with Teddy Wilson�s Orchestra 	Carelessly
591	Guy Lombardo with Lebert Lombardo 	It Looks Like Rain in Cherry Blossom Lane
592	Russ Morgan with Jimmie Lewis 	The Merry-Go-Round Broke Down
593	Shep Fields with Bob Goday 	The Merry-Go-Round Broke Down
594	Hal Kemp with Bob Allen 	Where or When
595	Horace Heidt with Larry Cotton 	Gone with the Wind
596	Fats Waller 	Smarty (You Know It All)
597	Guy Lombardo with Carmen Lombardo 	A Sailboat in the Moonlight
598	Tommy Dorsey 	Satan Takes a Holiday
599	Guy Lombardo with Carmen Lombardo 	So Rare
600	Bob Crosby with Kay Weber 	Whispers in the Dark
601	Tommy Dorsey with Edythe Wright 	The Big Apple
602	Bing Crosby with John Scott Trotter�s Orchestra 	The Moon Got in My Eyes
603	Shep Fields with Bob Goday 	That Old Feeling
604	Teddy Wilson 	You Can�t Stop Me from Dreaming
605	Bing Crosby with John Scott Trotter�s Orchestra 	Remember Me?
606	Rudy Vallee 	Vieni, Vieni
607	Tommy Dorsey 	Once in a While
608	Tommy Dorsey with Edythe Wright 	The Dipsy Doodle
609	Bing Crosby with Connee Boswell & John Scott Trotter�s Orchestra 	Bob White (Whatcha Gonna Swing Tonight?)
610	Sammy Kaye with Tommy Ryan 	Rosalie
611	Fred Astaire with Ray Noble 	Nice Work if You Can Get It
612	The Andrews Sisters 	Bei Mir Bist Du Sch�en (Means That You�re Grand)
613	Dolly Dawn & Her Dawn Patrol 	You�re a Sweetheart
614	Shep Fields with Bob Goday 	Thanks for the Memory
615	Russ Morgan with Bernice Parks 	I Double Dare You
616	Horace Heidt with Lysbeth Hughes & Larry Cotton 	Ti-Pi-Tin
617	Benny Goodman 	Don�t Be That Way
618	Duke Ellington 	I Let a Song Go Out of My Heart
619	Red Norvo with Mildred Bailey 	Please Be Kind
620	Sammy Kaye with Tommy Ryan 	Love Walked In
621	Larry Clinton with Bea Wain 	Cry Baby Cry
622	Shep Fields with Jerry Stewart 	Cathedral in the Pines
623	Benny Goodman with Martha Tilton 	I Let a Song Go Out of My Heart
624	Red Norvo with Mildred Bailey 	Says My Heart
625	Ella Fitzgerald with Chick Webb & His Orchestra 	A-Tisket, A-Tasket
626	Tommy Dorsey with Edythe Wright 	Music Maestro Please!
627	Russ Morgan 	I�ve Got a Pocketful of Dreams
628	Fred Astaire with Ray Noble�s Orchestra 	Change Partners
629	Bing Crosby with Connee Boswell & John Scott Trotter�s Orchestra 	Alexander�s Ragtime Band
630	Larry Clinton with Bea Wain 	My Reverie
631	Bing Crosby with John Scott Trotter�s Orchestra 	I�ve Got a Pocketful of Dreams
632	Jimmy Dorsey with Bob Eberly 	Change Partners
633	Larry Clinton with Bea Wain 	Heart and Soul
634	Artie Shaw 	Begin the Beguine
635	Fats Waller 	Two Sleepy People
636	Bing Crosby with Bob Crosby�s Orchestra 	You Must Have Been a Beautiful Baby
637	Andy Kirk with Pha Terrell 	I Won�t Tell a Soul I Love You
638	Artie Shaw with Helen Forrest 	They Say
639	Al Donahue with Paula Kelly 	Jeepers Creepers
640	Artie Shaw with Helen Forrest 	Thanks for Everything
641	Kay Kyser with Ginny Simms & Harry Babbitt 	The Umbrella Man
642	Larry Clinton with Bea Wain 	Deep Purple
643	Guy Lombardo 	Penny Serenade
644	Glen Gray with Clyde Burke 	Heaven Can Wait
645	Tommy Dorsey with Jack Leonard 	Our Love
646	Benny Goodman with Martha Tilton 	And the Angels Sing
647	Kay Kyser with Harry Babbitt, Ginny Simms, Sully Mason, & Ish Kabibble 	Three Little Fishies (Itty Bitty Poo)
648	Will Glahe 	Beer Barrel Polka (Roll Out the Barrel)
649	Glenn Miller with Ray Eberle 	Wishing Will Make It So
650	Glenn Miller with Ray Eberle 	Stairway to the Stars
651	Glen Gray 	Sunrise Serenade
652	Glenn Miller with Ray Eberle 	Moon Love
653	Glenn Miller with Ray Eberle 	Over the Rainbow
654	Judy Garland 	Over the Rainbow
655	Glenn Miller with Marion Hutton 	The Man with the Mandolin
656	Glenn Miller with Ray Eberle 	Blue Orchids
657	Bob Crosby with Helen Ward 	Day in, Day Out
658	Shep Fields with Hal Derwin 	South of the Border (Down Mexico Way)
659	The Ink Spots 	Address Unknown
660	Frankie Masters 	Scatter-Brain
661	Shep Fields 	South of the Border (Down Mexico Way)
662	Tommy Dorsey with Jack Leonard 	All the Things You Are
663	Glenn Miller with Ray Eberle 	Careless
664	Glenn Miller 	In the Mood
665	Tommy Dorsey with Jack Leonard 	Indian Summer
666	Benny Goodman with Mildred Bailey 	Darn That Dream
667	Cliff Edwards with the Ken Darby Singers & Victor Young�s Orchestra 	When You Wish Upon a Star
668	Dick Jurgens with Eddy Howard 	In an Old Dutch Garden
669	Glenn Miller 	Tuxedo Junction
670	Glenn Miller with Marion Hutton 	The Woodpecker Song
671	Glenn Miller 	Imagination
672	Mitchell Ayres with Mary Ann Mercer 	Make-Believe Island
673	Glenn Miller with Ray Eberle 	Fools Rush in Where Angels Fear to Tread
674	Tommy Dorsey with Frank Sinatra & the Pied Pipers 	I�ll Never Smile Again
675	Bing Crosby with John Scott Trotter�s Orchestra 	Sierra Sue
676	Charlie Barnet with Mary Ann McCall 	Where Was I?
677	Jimmy Dorsey with Bob Eberly 	The Breeze and I
678	The Ink Spots 	Maybe
679	Bob Chester�s Orchestra with Al Stuart 	Practice Makes Perfect
680	Bing Crosby with John Scott Trotter�s Orchestra 	Only Forever
681	Glenn Miller 	Blueberry Hill
682	The Andrews Sisters 	Ferry Boat Serenade (La Piccinina)
683	Bing Crosby with Dick McIntyre�s Orchestra 	Trade Winds
684	The Ink Spots 	We Three (My Echo, My Shadow, and Me)
685	Vaughn Monroe 	There I Go
686	Artie Shaw 	Frenesi
687	Charlie Barnet�s Orchestra with Bob Carroll 	I Hear a Rhapsody
688	Glenn Miller 	Song of the Volga Boatmen
689	Jimmy Dorsey with Bob Eberly & Helen O�Connell 	Amapola (Pretty Little Poppy)
690	Al Donahue with Dee Keating 	A Wise Old Owl
691	Jimmy Dorsey with Bob Eberle 	My Sister and I
692	Jimmy Dorsey with Bob Eberly 	Maria Elena
693	Guy Lombardo 	Intermezzo (Souvenir De Vienne)
694	Sammy Kaye 	Daddy
695	Freddy Martin with Eddie Stone 	The Hut-Sut Song (A Swedish Serenade)
696	Jimmy Dorsey with Bob Eberly & Helen O�Connell 	Green Eyes (Aquellos Ojos Verdes)
697	Glenn Miller 	You and I
698	Jimmy Dorsey with Bob Eberly 	Blue Champagne
699	Freddy Martin 	Piano Concerto in B Flat
700	Horace Heidt with Larry Cotton, Donna Wood, & Don Juans 	I Don't Want to Set the World on Fire
701	Tony Martin 	Tonight We Love (Concerto No. 1, B Flat Minor)
702	Glenn Miller with Tex Beneke & the Four Modernaires 	Chattanooga Choo Choo
703	Glenn Miller with Ray Eberle & the Modernaires 	Elmer�s Tune
704	Kay Kyser 	There'll Be Bluebirds Over the White Cliffs of Dover
705	Glenn Miller 	A String of Pearls
706	Woody Herman 	Blues in the Night (My Mama Done Tol� Me)
707	Glenn Miller with Ray Eberle & the Modernaires 	Moonlight Cocktail
708	Horace Heidt 	Deep in the Heart of Texas
709	Harry James 	I Don't Want to Walk without You
710	Benny Goodman with Peggy Lee 	Somebody Else Is Taking My Place
711	Jimmy Dorsey with Bob Eberly & Helen O�Connell 	Tangerine
712	Glenn Miller with Marion Hutton 	Don�t Sit Under the Apple Tree with Anyone Else But Me
713	Harry James 	Sleepy Lagoon
714	Harry James with Jimmy Saunders 	One Dozen Roses
715	Kay Kyser with Harry Babbitt & Julie Conway 	Jingle Jangle Jingle
716	Kay Kyser with Harry Babbitt 	He Wears a Pair of Silver Wings
717	Glenn Miller with Tex Beneke, Marion Hutton, & the Modernaires 	I�ve Got a Gal in Kalamazoo
718	Vaughn Monroe 	My Devotion
719	Bing Crosby with the Ken Darby Singers and John Scott Trotter�s Orchestra 	White Christmas
720	Tommy Dorsey with Frank Sinatra & the Pied Pipers 	There Are Such Things
721	Bing Crosby 	Moonlight Becomes You
722	Harry James with Helen Forrest 	I Had the Craziest Dream
723	Harry James with Helen Forrest 	I�ve Heard That Song Before
724	Xavier Cugat 	Brazil (Aquarela Do Brasil)
725	The Ink Spots 	Don�t Get Around Much Anymore
726	Glenn Miller with Skip Nelson & the Modernaires 	That Old Black Magic
727	Dooley Wilson 	As Time Goes By
728	Benny Goodman with Helen Forrest 	Taking a Chance on Love
729	Vaughn Monroe with the Four Lee Sisters 	Let�s Get Lost
730	The Song Spinners 	Comin� in on a Wing and a Prayer
731	Dick Haymes & the Song Spinners 	You�ll Never Know
732	Tommy Dorsey with Frank Sinatra 	In the Blue of the Evening
733	Bing Crosby with the Ken Darby Singers 	Sunday, Monday or Always
734	Harry James with Frank Sinatra 	All or Nothing at All
735	Al Dexter & His Troopers 	Pistol Packin� Mama
736	Bing Crosby with Trudy Erwin & Sportsmen Glee Club 	People Will Say We�re in Love
737	The Mills Brothers 	Paper Doll
738	Glen Gray with Eugenie Baird 	My Heart Tells Me (Should I Believe My Heart?)
739	THe Andrews Sisters with Vico Schoen�s Orchestra 	Shoo-Shoo Baby
741	Jimmy Dorsey with Bob Eberly & Kitty Kallen 	Besame Mucho (Kiss Me Much)
742	The Merry Macs 	Mairzy Doats
743	Frank Sinatra with the Bobby Tucker Singers 	I Couldn�t Sleep a Wink Last Night
744	Guy Lombardo with Skip Nelson & the Lombardo Trio 	It�s Love, Love, Love
745	Bing Crosby with John Scott Trotter�s Orchestra 	I Love You
746	Bing Crosby with John Scott Trotter�s Orchestra 	San Fernando Valley
747	Dick Haymes with Helen Forrest with Camarata�s Orchestra 	Long Ago and Far Away
748	Harry James with Dick Haymes 	I�ll Get by As Long As I Have You
749	Bing Crosby with John Scott Trotter�s Orchestra 	I�ll Be Seeing You
750	Bing Crosby with John Scott Trotter�s Orchestra 	Amor
751	Bing Crosby with the Williams Brothers� Quartet & John Scott Trotter�s Orchestra 	Swinging on a Star
752	Louis Jordan 	G.I. Jive
753	Dinah Shore 	I�ll Walk Alone
754	The Mills Brothers with Doris Fisher & Allan Roberts 	You Always Hurt the One You Love
755	Bing Crosby & the Andrews Sisters with Vic Schoen�s Orchestra 	There�ll Be a Hot Time in the Town of Berlin When the Yanks Go Marching In
756	Russ Morgan with Al Jennings 	Dance with a Dolly with a Hole in Her Stocking
757	Judy Garland with Georgie Stoll�s Orchestra 	The Trolley Song
758	The Ink Spots with Ella Fitzgerald, Allan Roberts, & Doris Fisher 	Into Each Life Some Rain Must Fall
759	The Ink Spots with Ella Fitzgerald 	I�m Making Believe
760	Bing Crosby & the Andrews Sisters with Vico Schoen�s Orchestra 	Don�t Fence Me In
761	The Andrews Sisters with Vic Schoen�s Orchestra 	Rum and Coca-Cola
762	Johnny Mercer with the Pied Pipers & Paul Weston�s Orchestra 	Ac-Cent-Tchu-Ate the Positive
763	Frankie Carle with Paul Allen 	A Little on the Lonely Side
764	Les Brown with Doris Day 	My Dreams Are Getting Better All the Time
765	Johnny Mercer with Joe Stafford, the Pied Pipers, & Paul Weston�s Orchestra 	Candy
766	Harry James with Kitty Kallen 	I�m Beginning to See the Light
767	Les Brown with Doris Day 	Sentimental Journey
768	The Pied Pipers with Paul Weston�s Orchestra 	Dream (When You�re Feeling Blue)
769	Vaughn Monroe with the Norton Sisters 	There! I�ve Said It Again
770	Woody Herman 	Laura
771	Johnny Mercer with the Pied Pipers & Paul Weston�s Orchestra 	On the Atchison, Topeka and Santa Fe
772	Dick Haymes 	The More I See You
773	Perry Como with Russell Case�s Orchestra 	Till the End of Time
774	Dick Haymes with Helen Forrest & Victor Young�s Orchestra 	I�ll Buy That Dream
775	Harry James with Kitty Kallen 	It�s Been a Long, Long Time
776	Bing Crosby with Les Paul & His Trio 	It�s Been a Long, Long Time
777	Sammy Kaye with Nancy Norman & Billy Williams 	Chickery Chick
778	Dick Haymes with Victor Young�s Orchestra 	It Might As Well Be Spring
779	Bing Crosby with Carmen Cavallaro 	I Can�t Begin to Tell You
780	Freddy Martin with Clyde Rogers 	Symphony
781	Vaughn Monroe with the Norton Sisters 	Let It Snow! Let It Snow! Let It Snow!
782	Betty Hutton with Paul Weston�s Orchestra 	Doctor, Lawyer, Indian Chief
783	Johnny Mercer with the Pied Pipers & Paul Weston�s Orchestra 	Personality
784	Frankie Carle with Marjoie Hughes 	Oh! What It Seemed to Be
785	Frank Sinatra with Axel Stordahl�s Orchestra 	Oh! What It Seemed to Be
786	Sammy Kaye with Betty Barclay 	I�m a Big Girl Now
787	Perry Como with Russ Case�s Orchestra 	Prisoner of Love
788	Perry Como 	All Through the Day
789	Dinah Shore with Sonny Burke�s Orchestra 	The Gypsy
790	The Ink Spots 	The Gypsy
791	Dinah Shore 	Laughing on the Outside, Crying on the Inside
792	Frank Sinatra 	They Say It�s Wonderful
793	Eddy Howard 	To Each His Own
794	Freddy Martin with Stuart Wade 	To Each His Own
795	The Ink Spots 	To Each His Own
796	Perry Como with Russ Case�s Orchestra 	Surrender
797	Frank Sinatra with Alex Stordahl�s Orchestra 	Five Minutes More
798	Frankie Carle with Marjorie Hughes 	Rumors Are Flying
799	Kay Kyser with Michael Doughlas & the Campus Kids 	Ole Buttermilk Sky
800	Sammy Kaye with Billy Williams & Choir 	The Old Lamp-Lighter
801	The Nat �King� Cole Trio 	I Love You for Sentimental Reasons
802	Hoagy Carmichael with the Chickadees & Vic Schoen�s Orchestra 	Huggin� and Chalkin�
803	Freddy Martin with Stuart Wade & Ensemble 	Managua, Nicaragua
804	Count Basie with Harry Edison & Bill Johnson 	Open the Door, Richard!
805	Johnny Mercer 	A Gal in Calico
806	The Three Flames with Tiger Haynes 	Open the Door, Richard!
807	Dinah Shore with Morris Stoloff�s Orchestra 	The Anniversary Song
808	Ted Weems with Elmo Tanner 	Heartaches
809	Ray Noble with Buddy Clark 	Linda
810	Frank Sinatra with Axel Stordahl�s Orchestra 	Mam�selle
811	Art Lund with Johnny Thompson�s Orchestra 	Mam�selle
812	The Harmonicats 	Peg O� My Heart
813	Buddy Clark with Mitchell Ayres� Orchestra 	Peg O� My Heart
814	The Three Suns 	Peg O� My Heart
815	Perry Como with the Satisfiers & Lloyd Shaffer�s Orchestra 	Chi-Baba Chi-Baba (My Bambino Go to Sleep)
816	Red Ingle & the Natural Seven with Cinderella G. Stump & Jo Stafford 	Temptation (Tim-Tayshun)
817	Eddy Howard 	I Wonder, I Wonder, I Wonder
818	Tex Williams & His Wester Caravan 	Smoke! Smoke! Smoke! That Cigarette
819	Frankie Laine 	That�s My Desire
820	Francis Craig�s Orchestra with Bob Lamm 	Near You
821	Perry Como with Ted Weems 	I Wonder Who�s Kissing Her Now
822	Dorothy Shay 	Feudin� and Fightin�
823	Vaughn Monroe 	I Wish I Didn�t Love You So
824	Dinah Shore 	You Do
825	Vaughn Monroe 	Ballerina
826	Louis Prima 	Civilization (Bongo, Bongo, Bongo)
827	Jack Owens with Eddie Bellantyne�s Orchestra 	How Soon Will I Be Seeing You?
828	Arthur Godfrey 	Too Fat Polka (I Don�t Want Her, You Can Have Her, She's Too Fat for Me)
829	Peggy Lee 	Golden Earrings
830	Art Mooney 	I�m Looking Over a Four-Leaf Clover
831	Bing Crosby with the Ken Darby Choir 	Now Is the Hour (Maori Farewell Song)
832	Peggy Lee with Dave Barbour & the Brazilians 	Manana Is Soon Enough for Me
833	Nat �King� Cole with Frank DeVol�s Orchestra 	Nature Boy
